Molecule_ID,Distance_bp,Number_of_Sites,Category,Telomere_Method
3506747,1022.6999999999825,1,Normal_Telomere,direct_telomere
4772939,1037.3,1,Normal_Telomere,direct_telomere
5770784,3868.8,2,Normal_Telomere,direct_telomere
5829655,242.3153846153582,0,Normal_No_Telomere,estimated_telomere
7639029,784.2166666666662,0,Normal_No_Telomere,estimated_telomere
7925694,1180.4000000000233,1,Normal_Telomere,direct_telomere
9361111,949.2166666666662,0,Normal_No_Telomere,estimated_telomere
11568833,37919.80000000002,1,Fused_Telomere,direct_telomere
12200325,1687.1000000000058,1,Normal_Telomere,direct_telomere
12404095,1006.1166666666659,0,Normal_No_Telomere,estimated_telomere
15478185,128630.5,28,Fused_Telomere,direct_telomere
15869684,774.2846153846185,0,Normal_No_Telomere,estimated_telomere
15899698,2099.7,1,Normal_Telomere,direct_telomere
16547457,2250.8,1,Normal_Telomere,direct_telomere
17314177,74812.41666666667,0,Fused_No_Telomere,estimated_telomere
17948332,2069.915384615364,0,Normal_No_Telomere,estimated_telomere
17948678,770.2000000000116,1,Normal_Telomere,direct_telomere
19435105,40400.6,1,Fused_Telomere,direct_telomere
19625567,3112.100000000035,1,Normal_Telomere,direct_telomere
20113139,2247.8000000000466,1,Normal_Telomere,direct_telomere
20389274,110639.9,26,Fused_Telomere,direct_telomere
20389761,7733.5,3,Normal_Telomere,direct_telomere
20426811,10797.5,2,Fused_Telomere,direct_telomere
20459411,2885.2833333333338,0,Normal_No_Telomere,estimated_telomere
20774725,60056.1,12,Fused_Telomere,direct_telomere
21913106,73846.68461538461,16,Fused_No_Telomere,estimated_telomere
21929831,2127.2000000000116,1,Normal_Telomere,direct_telomere
22941325,4207.2,3,Normal_Telomere,direct_telomere
22974990,1436.4,1,Normal_Telomere,direct_telomere
23483696,5080.5,2,Normal_Telomere,direct_telomere
24254546,246.48461538463016,0,Normal_No_Telomere,estimated_telomere
25370892,89999.79999999999,1,Fused_Telomere,direct_telomere
25724105,3720.8,1,Normal_Telomere,direct_telomere
26137576,1433.3999999999942,1,Normal_Telomere,direct_telomere
26201126,2680.8,1,Normal_Telomere,direct_telomere
27189200,32855.3,1,Fused_Telomere,direct_telomere
27777504,208.8153846153873,0,Normal_No_Telomere,estimated_telomere
27951096,5210.9,1,Normal_Telomere,direct_telomere
28481971,2509.100000000006,1,Normal_Telomere,direct_telomere
29268481,2525.4,1,Normal_Telomere,direct_telomere
31018237,3430.1,2,Normal_Telomere,direct_telomere
32473776,1554.5,1,Normal_Telomere,direct_telomere
