Molecule_ID,Distance_bp,Number_of_Sites,Category,Telomere_Method
9695405,5612.0,3,Normal_Telomere,direct_telomere
9755396,2038.2000000000116,1,Normal_Telomere,direct_telomere
12127818,2276.2,1,Normal_Telomere,direct_telomere
12904802,1282.4,1,Normal_Telomere,direct_telomere
15528374,882.7999999999884,1,Normal_Telomere,direct_telomere
16175466,3912.0,2,Normal_Telomere,direct_telomere
17461614,2700.8,2,Normal_Telomere,direct_telomere
17619671,1394.9533333333347,0,Normal_No_Telomere,estimated_telomere
18765635,2361.2000000000116,1,Normal_Telomere,direct_telomere
19254145,1136.0,1,Normal_Telomere,direct_telomere
19282324,1139.5,1,Normal_Telomere,direct_telomere
20389824,171174.4,16,Fused_Telomere,direct_telomere
20681566,1428.0,1,Normal_Telomere,direct_telomere
20959394,2971.3,2,Normal_Telomere,direct_telomere
21105035,3380.9,2,Normal_Telomere,direct_telomere
21252145,886.9533333333347,0,Normal_No_Telomere,estimated_telomere
22537122,3447.2,1,Normal_Telomere,direct_telomere
23511865,1292.0,1,Normal_Telomere,direct_telomere
24763149,7289.0,2,Normal_Telomere,direct_telomere
25496567,2051.5,1,Normal_Telomere,direct_telomere
25591954,10306.3,4,Fused_Telomere,direct_telomere
26805326,1055.0533333333342,0,Normal_No_Telomere,estimated_telomere
27495058,2542.4,1,Normal_Telomere,direct_telomere
31197839,2671.3,1,Normal_Telomere,direct_telomere
32446444,802.7999999999884,1,Normal_Telomere,direct_telomere
