Molecule_ID,Distance_bp,Number_of_Sites,Category,Telomere_Method
213488,141539.3,20,Fused_Telomere,direct_telomere
2395354,2121.4,2,Normal_Telomere,direct_telomere
3375023,1776.7,1,Normal_Telomere,direct_telomere
3849247,1697.5,1,Normal_Telomere,direct_telomere
4109943,2224.3,1,Normal_Telomere,direct_telomere
4345934,2637.5,1,Normal_Telomere,direct_telomere
5695747,1533.5,1,Normal_Telomere,direct_telomere
7986195,3002.1,1,Normal_Telomere,direct_telomere
10430132,1931.2999999999884,1,Normal_Telomere,direct_telomere
10940101,4169.8,3,Normal_Telomere,direct_telomere
11569123,368.3941176470835,0,Normal_No_Telomere,estimated_telomere
11752635,4150.1,3,Normal_Telomere,direct_telomere
14599384,1897.8000000000175,1,Normal_Telomere,direct_telomere
14908497,91515.40000000001,20,Fused_No_Telomere,estimated_telomere
15291640,1550.9999999999982,0,Normal_No_Telomere,estimated_telomere
16147860,1326.1000000000058,1,Normal_Telomere,direct_telomere
16207326,1407.6000000000058,1,Normal_Telomere,direct_telomere
16720661,2390.7,1,Normal_Telomere,direct_telomere
17007577,1733.3999999999942,1,Normal_Telomere,direct_telomere
17246759,2277.0000000000027,0,Normal_No_Telomere,estimated_telomere
17308972,2221.5,1,Normal_Telomere,direct_telomere
17644489,1099.4999999999982,0,Normal_No_Telomere,estimated_telomere
17835280,2889.3,2,Normal_Telomere,direct_telomere
18055489,3389.6,1,Normal_Telomere,direct_telomere
18175714,1945.3000000000175,1,Normal_Telomere,direct_telomere
18665080,157274.0,43,Fused_Telomere,direct_telomere
19022881,1988.0,1,Normal_Telomere,direct_telomere
19203303,1982.2941176470486,0,Normal_No_Telomere,estimated_telomere
19596717,1428.6,1,Normal_Telomere,direct_telomere
19814389,2185.9,1,Normal_Telomere,direct_telomere
19900937,2304.7000000000116,1,Normal_Telomere,direct_telomere
20116413,1296.9,1,Normal_Telomere,direct_telomere
20243339,7927.099999999998,1,Normal_No_Telomere,estimated_telomere
20373565,89841.9,23,Fused_Telomere,direct_telomere
20451172,4998.2,1,Normal_Telomere,direct_telomere
20492479,789.3,2,Normal_Telomere,direct_telomere
20602568,1467.4941176470893,0,Normal_No_Telomere,estimated_telomere
20719455,1915.2000000000016,1,Normal_No_Telomere,estimated_telomere
21331586,6090.5,3,Normal_Telomere,direct_telomere
21709489,106487.1,25,Fused_Telomere,direct_telomere
22040576,1269.0,1,Normal_Telomere,direct_telomere
22149634,2658.899999999994,2,Normal_Telomere,direct_telomere
22244672,973.8941176470835,0,Normal_No_Telomere,estimated_telomere
22536504,821.4,1,Normal_Telomere,direct_telomere
22788197,14028.8,4,Fused_Telomere,direct_telomere
22909943,2287.0,1,Normal_Telomere,direct_telomere
23844322,2126.3,1,Normal_Telomere,direct_telomere
24507405,1690.1,1,Normal_Telomere,direct_telomere
24624826,709.6000000000058,1,Normal_Telomere,direct_telomere
24913379,2202.6,3,Normal_Telomere,direct_telomere
24976038,2092.7,1,Normal_Telomere,direct_telomere
25724889,1718.3999999999942,2,Normal_Telomere,direct_telomere
25768412,117269.6,11,Fused_Telomere,direct_telomere
25801260,17177.4,6,Fused_Telomere,direct_telomere
25867094,4047.4,1,Normal_Telomere,direct_telomere
26076659,6341.9,4,Normal_Telomere,direct_telomere
26512641,6115.0,3,Normal_Telomere,direct_telomere
27146216,6174.2,2,Normal_Telomere,direct_telomere
27822999,2298.0,1,Normal_Telomere,direct_telomere
27929460,2135.9000000000233,1,Normal_Telomere,direct_telomere
28244831,3025.6,1,Normal_Telomere,direct_telomere
28852804,2320.4000000000024,0,Normal_No_Telomere,estimated_telomere
28981781,1767.9,1,Normal_Telomere,direct_telomere
31333097,1814.2,1,Normal_Telomere,direct_telomere
31875989,2503.100000000006,1,Normal_Telomere,direct_telomere
32003931,3761.7,2,Normal_Telomere,direct_telomere
32100309,3076.1,2,Normal_Telomere,direct_telomere
