Molecule_ID,Distance_bp,Number_of_Sites,Category,Telomere_Method
3568814,3067.0,1,Normal_Telomere,direct_telomere
6049057,1676.1,1,Normal_Telomere,direct_telomere
6209325,233.38181818183511,0,Normal_No_Telomere,estimated_telomere
9863194,822.5,1,Normal_Telomere,direct_telomere
10300706,463.9,1,Normal_Telomere,direct_telomere
10362440,1991.4000000000233,1,Normal_Telomere,direct_telomere
11241812,687.5,1,Normal_Telomere,direct_telomere
11567271,2120.5,1,Normal_Telomere,direct_telomere
12482821,3207.399999999994,1,Normal_Telomere,direct_telomere
13296101,237315.1,34,Fused_Telomere,direct_telomere
13299628,204.68181818182347,0,Normal_No_Telomere,estimated_telomere
13378935,481.0,1,Normal_Telomere,direct_telomere
13830347,2380.7,1,Normal_Telomere,direct_telomere
15333402,362.1,1,Normal_Telomere,direct_telomere
15962642,2169.5,1,Normal_Telomere,direct_telomere
16348176,2207.5,1,Normal_Telomere,direct_telomere
16814191,1180.6,1,Normal_Telomere,direct_telomere
16933196,422.2,1,Normal_Telomere,direct_telomere
17067347,760.7800000000007,0,Normal_No_Telomere,estimated_telomere
17246620,770.8999999999942,1,Normal_Telomere,direct_telomere
17594211,3156.0,2,Normal_Telomere,direct_telomere
18254594,1787.2,1,Normal_Telomere,direct_telomere
19201736,3158.8000000000175,2,Normal_Telomere,direct_telomere
19570129,7947.3,4,Normal_Telomere,direct_telomere
19897877,1193.3,1,Normal_Telomere,direct_telomere
20003476,8752.6,7,Normal_Telomere,direct_telomere
20397345,144968.4,37,Fused_Telomere,direct_telomere
20448095,16253.2,7,Fused_Telomere,direct_telomere
20456182,108687.30000000002,32,Fused_Telomere,direct_telomere
21142531,46682.1,17,Fused_Telomere,direct_telomere
21271464,373.3999999999942,1,Normal_Telomere,direct_telomere
21289147,1905.518181818159,0,Normal_No_Telomere,estimated_telomere
21332201,8378.9,5,Normal_Telomere,direct_telomere
21813139,3954.2,2,Normal_Telomere,direct_telomere
23964372,7138.7,1,Normal_Telomere,direct_telomere
24004106,2795.4,1,Normal_Telomere,direct_telomere
24550666,2320.5,1,Normal_Telomere,direct_telomere
25227567,1027.6,1,Normal_Telomere,direct_telomere
25244718,508.5199999999995,0,Normal_No_Telomere,estimated_telomere
25641034,44412.381818181806,5,Fused_No_Telomere,estimated_telomere
26074646,1458.0,1,Normal_Telomere,direct_telomere
27328271,2056.0,1,Normal_Telomere,direct_telomere
27570328,3026.399999999994,2,Normal_Telomere,direct_telomere
27899148,34.719999999999345,0,Normal_No_Telomere,estimated_telomere
28600413,2503.7,2,Normal_Telomere,direct_telomere
28917898,61.518181818159064,0,Normal_No_Telomere,estimated_telomere
29296934,172600.39999999997,38,Fused_Telomere,direct_telomere
30164382,747.5818181818177,0,Normal_No_Telomere,estimated_telomere
31436829,272.3199999999997,0,Normal_No_Telomere,estimated_telomere
32099510,954.1,1,Normal_Telomere,direct_telomere
32474753,4121.0,1,Normal_Telomere,direct_telomere
32499203,891.9818181818118,0,Normal_No_Telomere,estimated_telomere
